Katsesõna	ÜS_definitsioon
kantsel	kirikus kõrgemal asetsev rinnatisega ümbritsetud kõnetool, kust vaimulik jutlustab
kantseldama	inimesi, lapsi vaos hoidma, kellegi järele vaatama
kantselei	ametiasutuse osakond või ruum (vahel ka omaette asutus), mis tegeleb ametliku asjaajamisega
kantseleikeel	(riigis) ametlikul asjaajamisel kasutatav keel
kantseleilik	(keelepruugi kohta:) kuivalt ametlik, puine, vahel ka ülemäära keerukas või kohmakas
kantseliit	
kantseliitlik	(keelepruugi kohta:) kuivalt ametlik, puine, vahel ka ülemäära keerukas või kohmakas
kantserogeenne	vähktõbe ja muid pahaloomulisi kasvajaid tekitav
kanuu	algselt Põhja-Ameerika indiaanlaste (ja mõnede muude loodusrahvaste) kerge kitsas ühe mõlaga aerutatav paat
kanuutama	kanuuga sõitma
kanäe	väljendab imestust, üllatust, vahel ka pahameelt
kanüül	õõnesnõel või peen toru vedelike ja muude ainete kehasse või sealt välja juhtimiseks
kaootiline	korratuses olev, korrapäratu või ilma kindla sihita
kaotaja	see, kes on võistluses või võitluses teistest nõrgem, kehvem
kaotama	mingite asjaolude tõttu kaotsi minna laskma (hrl esemete kohta)
kaotsi	"kadunuks, kaduma	 luhta, raisku"
kaotsis	(teadmata) kadunud
kaotusseis	kaotust ennustav, kaotusele viiv mänguseis
kapak	hobuse kõige kiirem, hüpetega liikumisviis, mille puhul maad puudutavad vaheldumisi eesmine ja tagumine jalapaar
kapakali	kodus valmistatud õlu
kapamaa	feodaalajal Eestis tarvitusel olnud pindalaühik (17. sajandil 162,6 mÂ², 19. sajandil 148,6 mÂ²)
kapatsism	kõnehäire, mille puhul valesti hääldatakse k-häälikut
kapatsiteet	võime, millekski suuteline olek
kapeadoor	varasema aja härjavõitleja, kelle ülesandeks oli looma ärritamine punase riidega
kapellmeister	orkestri või koori dirigent
Kapera	küla Võru maakonnas Võru vallas (Vastseliina kihelkonnas)
kaperdama	vaevaliselt, komistades, aeglaselt käima
kapillaar	kõige peenem vere- või lümfisoon
kapillaar	kapillaarsusel põhinev, pindpinevusjõududega seotud
kapillaarne	kõige peenemate vere- või lümfisoontega seostuv, nendega ühenduses esinev
kapillaarsus	nähtus, kus vedelik pindpinevusjõu tõttu tõuseb või langeb peenikestes torudes (kapillaarides)
kaping	olemasoleva õmbluse kõrvale tehtav pisterida, et õmmeldavat eset tugevdada ja kaunistada
kapist välja tulema	(homo-, bi- või transseksuaalse inimese kohta:) oma seksuaalset orientatsiooni või sooidentiteeti avalikustama
kapitaal	põhjalik ja kõikehõlmav
kapitaalehitus	ehitiste rajamine ning olemasolevate laiendamine ja (põhjalik) ümberehitamine
kapitaalkiri	ainult suurtähtedest koosnev ladina kiri
kapitaalne	põhjalik ja kõikehõlmav
kapitaalremont	hoonete, masinate või seadmete põhjalik parandamine, uuendamine või (täielik) ümberehitamine
kapital	rahasumma, omand vm (varaline) väärtus, mida saab kasutada tulu saamiseks, lisaväärtuse loomiseks (nt seadmed, kinnisvara, oskusteave)
kapitalimahutus	"raha paigutamine ettevõttesse	 ettevõttesse paigutatud rahasumma (hoonete, seadmete vm põhivara soetamiseks või materjalide, kütuse, varuosade vms püsivate varude loomiseks)"
kapitaliseerima	ettevõtet või majandusharu rahaga vm kapitaliga varustama
kapitalism	19. ja 20. sajandil tööstusrevolutsiooni tulemusel tekkinud ühiskondlik-majanduslik süsteem, mida iseloomustavad eraomandus, vaba turumajandus ja konkurents ning kasumi saamisele suunatud majandamine
kapitalist	inimene, kes kasumi saamise nimel paigutab oma vara mingisse majandustegevusse (nt kaubandusettevõttesse, tööstusesse)
kapitalistlik	(majanduses, ühiskonnas:) eraomanduse, vaba turumajanduse ja kasumi saamisega seotud, kapitalismile omane
kapiteelkiri	väiketähe-kõrgustest trükitähtedest kiri
kapitulant	kergesti alistuv, kapituleeruv isik
kapitulatsioon	(ettekirjutatud tingimustel) alistumine või allaandmine
kaplan	eriülesandega vaimulik, kes teenib nt sõjaväes, vanglas, haiglas vm
kaplanaat	kaplanitest koosnev üksus, mille ülesandeks on inimeste vaimuliku teenimise korraldamine ilmalikus keskkonnas
kaplaniteenistus	kaplanitest koosnev üksus, mille ülesandeks on inimeste vaimuliku teenimise korraldamine ilmalikus keskkonnas
kapo	asutus, mille ülesanne on tagada riiklik julgeolek, võidelda terrorismiga ja riigi vastu suunatud kuritegudega
kapok	kerge villataoline materjal, mida saadakse mõnede troopikapuude, eriti kapokipuu seemnekarvadest ning mida kasutatakse nt madratsite, polstrite täiteks
kapoteerima	
kapott	sõiduki mootoriruumi kaas
kapottkübar	endisaegne paeltega lõua alt seotav väike naistekübar
kappama	(hrl hobuse või ratsaniku kohta:) kiiresti jooksma või ratsutama
kappsaag	
kappõmblus	olemasoleva õmbluse kõrvale tehtav pisterida, et õmmeldavat eset tugevdada ja kaunistada
kapremont	hoonete, masinate või seadmete põhjalik parandamine, uuendamine või (täielik) ümberehitamine
kapriis	äkiline isemeelne tuju
kapriisitsema	kangekaelselt tujutsema, kapsriisne olema
kapriisne	isemeelselt tujukas, muutliku meelega
kapsaaed	aiamaa kapsaste ja muu aedvilja kasvatamiseks
kapsahaigus	kapsast (ka teisi taimi) kahjustav taimehaigus
kapsakahjur	kapsast (ka teisi taimi) kahjustav putukas
kapsalohk	
kapsama	kergelt, kärmesti kargama, kergelt hüppama
kapsanui	puust nui peenestatud kapsaste tampimiseks tünnis (hapukapsa valmistamisel)
kapsaraud	varre külge kinnitatud kõver terariist kapsaste ja loomasööda peenestamiseks
kapsarull	hautatud või küpsetatud rulli keeratud kapsaleht hakklihatäidisega
kapsauss	
kapseldama	katva kestaga ümbritsema
kapselduma	mingisse kesta tõmbuma, endasse sulguma, end ümbritsevast eraldama
kapselgarderoob	umbes kümmekond riideeset, mida saab omavahel hõlpsasti kombineerida
kapsima	kergelt, kärmesti käima, kärmesti astuma
kapsti	"annab edasi kerget, kärmet liigutust, hoogsat tegutsemist	 annab edasi kerget, kärmet liigutust, hoogsat tegutsemist"
kaptenleitnant	"kaptenmajorile järgnev ja mereväekaptenile eelnev vanemohvitseri auaste Eesti jt riikide mereväes	 selles auastmes ohvitser"
kaptenmajor	"kaptenleitnandile eelnev madalaim vanemohvitseri auaste Eesti jt riikide mereväes	 selles auastmes ohvitser"
kaputsiin	16. sajandil asutatud frantsisklaste orduharu liige
kaputsiini	16. sajandil asutatud frantsisklaste orduharusse kuuluv, selle orduharuga seotud
kaputt	"katki, mokas	 omadega läbi"
kapuuts	ülerõiva küljes olev kotikujuline peakate
Kara-Bogaz-Goli laht	endine Kaspia mere laht Türkmenistani rannikul
Kara Värav	Barentsi ja Kara merd ühendav väin Venemaal
karaadine	(väärismetalli või vääriskivi kohta:) väärtusega üks karaat
Karabahh	endine põhiliselt armeenlastega asustatud autonoomne oblast Aserbaidžaani koosseisus
karabiin	lühikese vintrauaga kerge püss
karabinjeer	karabiiniga relvastatud eliitväeosa sõdur (mõnes Lääne-Euroopa riigis)
Karachi	linn Pakistanis
Karagandõ	oblastilinn Kasahstanis
karahvin	pikema kaelaga klaasist lauanõu jookide jaoks
Karakol	linn Kõrgõzstanis
karakteerne	kellelegi või millelegi eriti omane, kedagi või midagi iseloomustav
karakteriseerima	kellegi või millegi iseloomulikke tunnuseid või omadusi määrama ja kirjeldama
karakteristik	mingit eset, seadet, nähtust vm iseloomustav suurus, tunnus vm asjaolu
karakterliik	taime- või loomasüstemaatika üksusele iseloomulik, eristamiseks oluline taime- või loomaliik
karakternäitleja	näidendis, filmis vm karakterosades esinev näitleja
karakterpala	väikesevormiline helitöö, mille sisu kajastub pealkirjas
karaktertants	rahvusliku omapäraga lavatants, milles on ühendatud rahvatantsu ja klassikalise tantsu elemendid, lavarahvatants
karakull	karakullilamba mõnepäevase talle tiheda läikiva lokkis villaga karusnahk
karakullnahk	karakullilamba mõnepäevase talle tiheda läikiva lokkis villaga karusnahk
karamboola	"tähtviljapuu tähekujulise ristlõikega vili	 kollaste või oranžide munajate viljadega igihaljas troopikapuu"
karamell	suhkru kuumutamisel tekkiv pruunikas siirupitaoline mass, mida kasutatakse jookidele ja roogadele värvuse, aroomi ja maitse andmiseks
karamellistuma	suhkruga kuumutamisel pruunikaks siirupimassiks või selle taoliseks muutuma
karastama	metallide ja nende sulamite kõvadust tõstma tugeva kuumutamise ja seejärel järsu jahutamisega (külmas vees või õlis)
karastus	organismi, tahtejõu vm vastupidavamaks, kindlamaks muutmine, selline olek
Karatau	mäed Venemaal Uuralites
karauulima	"valvama, vahti pidama	 luurama, passima"
karauulitama	"valvama, vahti pidama	 luurama, passima"
karbas	ülemaailmse levikuga pardi- kuni hanesuurune karmi tumeda sulestikuga kalatoiduline veelind
karbatama	kuivaks ja praguliseks muutuma, korbaga kattuma
karbike	väike (või kena, armas) karp
karbikene	väike (või kena, armas) karp
kardetav	hirmutunnet tekitav, kartust vääriv, ohtlik
kardin	akna ees vm rippuv hrl tekstiilkangast kate
kardinaal	"vastav arvsõna (nt viis, sada)	 arvu või hulka märkiv arv (nt 5, 100)"
Kareda	küla Järva maakonnas Järva vallas (Peetri kihelkonnas)
Kareni	Myanmari (Birma) osariik
Karepa	küla Lääne-Viru maakonnas Haljala vallas (Haljala kihelkonnas)
karettkilpkonn	troopikamerede hrl merevaigukarva kilbi ja mõlajate jäsemetega kilpkonn
karguma	
Karhumäki	linn ja rajoonikeskus Venemaal Karjala keskosas
kari	koos peetavate, karjatatavate põllumajandusloomade rühm
karihiir	pika koonu ja sametja karvaga hiiretaoline peamiselt putuktoiduline loom
kariibi keel	indiaani keel, mida kõneldakse peamiselt Lõuna-Ameerika põhjaosas
Karijärv	järv Tartu maakonnas Elva vallas (Nõo kihelkonnas)
karikakar	põllu- ja teeservadel kasvav valgete või kollaste õitega rohttaim
karikaturist	karikatuuride joonistaja
karikatuur	joonistus, mis iseloomustab kujutatavat satiiriliselt või humoristlikult liialdades
karikloode	blastulale järgnev loote arenguaste, kus loode on kahe- või komekihilise seinaga karikakujuline moodustis
Karilatsi	küla Põlva maakonnas Kanepi vallas (Põlva kihelkonnas)
Karinu	küla Järva maakonnas Järva vallas (Järva-Jaani kihelkonnas)
karistama	kedagi sunnivahendiga mõjutama, kellelegi karistust määrama või täide viima
karistatav	isik, keda karistatakse millegi eest
karistatu	isik, kes on saanud karistuse, (kohtulikult) karistatud isik
Kariste	paik (küla) Viljandi maakonnas Mulgi vallas (Halliste kihelkonnas)
karistus	"kasvatus- või mõjutusvahend, mida rakendatakse kuriteo, üleastumise, halva käitumise vms puhul	 süüdi oleva isiku suhtes kohtulikult rakendatav sunniabinõu"
karistusaeg	kellelegi määratud vabadusekaotuse aeg
Karja	küla Saare maakonnas Saaremaa vallas (Karja kihelkonnas)
karja kaupa	"ühise hulgana, paljudega koos	 hulgana, suures koguses, (väga) suure rühmana"
karjahtama	korraks järsku ja lühidalt karjuma
karjakasvataja	karjakasvatusega tegelev inimene
karjakasvatus	kariloomade, eriti veiste pidamine, aretus ja majanduslik kasutamine
karjakaupa	"ühise hulgana, paljudega koos	 hulgana, suures koguses, (väga) suure rühmana"
Karjaküla	alevik Harju maakonnas Lääne-Harju vallas (Keila kihelkonnas)
karjamaa	karjatamiseks kasutatav rohumaa
karjanaine	naine, kelle töö on laudas veiste eest hoolitseda
karjasekaup	varasemal ajal kokkuleppe sõlmimine ning vastav kokkulepe karjase palkamisel
karjaseluule	antiikaja lüroeepiline luule, mis kirjeldab karjaste elu idüllilise looduse rüpes
karjatama	"koduloomade või -lindude järele vaatama	 kariloomi rohumaal (või söödamaal) söötma"
karjatama	korraks järsku ja lühidalt karjuma
karjatus	valust, vihast, ehmatusest vm põhjustatud äkiline, järsk tugev kisa või hüüatus
karjaõnn	edu, õnnestumine karjapidamises
karje	valust, vihast, ehmatusest vm põhjustatud äkiline, järsk tugev kisa või hüüatus
karjeristlik	omakasust tõugatud, isiklikku edu taotlev
karjuma	valju (ebameeldivat) häält kuuldavale tooma
karjus	kariloomade või lindude karjataja
karjuv	(hrl mingi negatiivse nähtusega ühenduses:) väga suur, teraval kujul ilmnev
Karksi	küla Viljandi maakonnas Mulgi vallas (Karksi kihelkonnas)
Karlovy Vary	linn Tšehhis
Karlskrona	linn Rootsis
karm	(puidu) mittetäielikul põlemisel või millegi kõrbemisel tekkiv (kibedalõhnaline) suits
karman	rõiva või muu eseme peale või sisse õmmeldud detail, kuhu saab panna asju
karmeliidi	
karmus	
karnivoor	"loom, kes toitub teistest loomadest	 taim, kes toitub putukatest"
karnivoorne	"(taimede kohta:) putuktoiduline	 (loomade kohta:) selline, kes toitub teistest loomadest"
karp	tiikides kasvatatav soojalembene mageveekala
karpaalkanali sündroom	haigusseisund, mis tekib suure närvi pitsumisel randmekanalis ja millele on iseloomulik käe tuimenemine, torked vms
karpaalkanalisündroom	haigusseisund, mis tekib suure närvi pitsumisel randmekanalis ja millele on iseloomulik käe tuimenemine, torked vms
karpjas	kujult karpi meenutav
karpkala	tiikides kasvatatav soojalembene mageveekala
Kars	linn Türgis
Karst	lavamaa Sloveenias ja Itaalias
Karši	linn Usbekistanis
kartma	"mitte julgema midagi teha	 hirmu, kartust tundma, kedagi või midagi pelgama, hirmul olema"
kartmatu	selline, kes ei karda, ei tunne hirmu midagi teha
kartmatus	hirmu ja kartuse puudumine, kartmatu olek
kartograafiline	kartograafia  alale kuuluv, kartograafiaga seostuv
kartsas	kahest tugevast külglatist ning neid ühendavatest pulkadest koosnev ese, mille abil saab kõrgele ronida
kartul	köögiviljana kasvatatav mugulaid moodustav üheaastane taim
kartuleid panema	kartulimugulaid mullasse kasvama panema
kartuleid võtma	kartulisaaki koristama
kartulihaigus	kartulit kahjustav taimehaigus, nt kartuli-lehemädanik
kartulijahu	kartulitest saadav tärklis
kartulikahjur	kartulit kahjustav putukas (nt kartulimardikas, kartuli-kiduuss, lehetäi)
kartulikoorimine	kartulite koorimine, neilt koore eemaldamine (hrl toidu valmistamisel)
kartulikõrvane	kartulite kõrvale, juurde söödav toit
kartulipanek	kartulimugulate mullasse kasvama panemine
kartulipanemine	kartulimugulate mullasse kasvama panemine
kartuliroos	ogaliste varte, hrl roosade või punaste õite ning vitamiinirikaste punaste viljadega ilupõõsas
kartuliseeme	kevadel mahapandavad kartulimugulad
kartulit panema	kartulimugulaid mullasse kasvama panema
kartulit võtma	kartulisaaki koristama
kartulitärklis	kartulitest saadav tärklis
kartulivõtmine	kartulisaagi koristus
kartulivõtt	kartulisaagi koristus
kartus	kerge hirm, mure, et midagi halba või ebasoovitavat võiks juhtuda
karu	põhjapoolkera suurtes metsades elav kogukas pruuni karvkattega kiskja
karulik	kohmakas, karu meenutav
karunahk	karult saadud (karus)nahk
karuott	põhjapoolkera suurtes metsades elav kogukas pruuni karvkattega kiskja
Karusaar	Norrale kuuluv saar Barentsi meres
Karuse	küla Pärnu maakonnas Lääneranna vallas (Hanila ja Karuse kihelkonnas)
karusloom	loom, kelle tiheda karvkattega nahka kasutatakse rõivaste valmistamiseks (nt soobel, nutria, rebane)
karusmari	karusmarjapõõsa rohekas või punakas mari
karusnahk	karuslooma tiheda karvkattega (eriliselt töödeldud) nahk rõivaste valmistamiseks või kaunistamiseks
karusnahkne	karusnahast valmistatud
karussell	püsttelje ümber pöörlev atraktsioon, mille istmeteks on puuhobused, autod vms
karuteene	näiliselt süütu või heade kavatsustega sooritatud toiming, mis viib halbade tagajärgedeni
karutemp	hull, pöörane, ka üleannetu või vallatu tegu
karutükk	hull, pöörane, ka üleannetu või vallatu tegu
karv	loomade ja inimeste nahal kasvav niitjas sarvainest moodustis (inimestel ihu-, juukse- või habemekarv)
karvaeemaldi	aparaat karvade eemaldamiseks
karvaeemaldus	karvade eemaldamine naha- või iluravi otstarbel (nt epilatsioon, depilatsioon)
karvasus	(keha- või taimeosade kohta:) (rohkete) karvadega kaetud olek
karvhaaval	ühe karva kaupa, üks karv korraga
karvupidi	hrl juustest kinni haarates või hoides
karvustama	juustest (või karvust) sakutama (karistuseks)
karvutsi	hrl juustest kinni haarates või hoides
kasahh	"Kasahstani kodanik või elanik	 Kasahstani päritolu inimene	 Kasahstani põhirahva liige"
Kasari	küla Lääne maakonnas Lääne-Nigula vallas (Kirbla kihelkonnas)
Kasaritsa	küla Võru maakonnas Võru vallas (Rõuge kihelkonnas)
kasarmulik	kasarmule omane, selle moodi
kaselehekollane	kaselehtedega värvimisel saadud kollane
Kasepere	küla Harju maakonnas Lääne-Harju vallas (Harju-Madise kihelkonnas)
kasepuit	kasepuupuit materjalina
kasepuu	"Eestis tavaline hrl valgetüvelise koorega lehtpuu (ka -põõsas)	 kasepuupuit materjalina"
Kasepää	alevik Tartu maakonnas Peipsiääre vallas (Kodavere kihelkonnas)
kasetoht	kasekoore pealmine korgistunud valgete kihtidena eraldatav osa
Kashi	linn Hiinas Xinjiangis
kasimatu	puhastamata, korda tegemata, seetõttu kole
kask	"kasepuupuit materjalina	 Eestis tavaline hrl valgetüvelise koorega lehtpuu (ka -põõsas)"
kaskokindlustus	auto vm mootorsõiduki vabatahtlik kindlustus, mille kohaselt hüvitatakse sõiduki omanikule sõiduki kahjustumisest või hävimisest tekkinud kahju
kaslane	kaslaste sugukonna esindaja, teatav liik või isend
Kaspia	maailma suurim väljavooluta järv, mis asub Euroopa ja Aasia piiril
kassa	rahaliste maksete sooritamise koht, ka asutuse, ettevõtte või organisatsiooni vastav osakond
kassapidaja	(kaupluses, teeninduses:) inimene, kes registreerib tehingu kassaaparaadis (nt skaneerib kauba) ning võtab kliendilt raha ostetud kaupade või teenuste eest
kassiir	(kaupluses, teeninduses:) inimene, kes registreerib tehingu kassaaparaadis (nt skaneerib kauba) ning võtab kliendilt raha ostetud kaupade või teenuste eest
kassilik	"kassile omane või iseloomulik	 kassi meenutav"
Kassinurme	küla Jõgeva maakonnas Jõgeva vallas (Palamuse kihelkonnas)
kast	puust vm materjalist täisnurkne mahuti asjade hoidmiseks ja transportimiseks
kastene	"kastega kaetud, kastega koos, sellest märg	 kastest märg"
Kastiilia	maa-ala Hispaanias
kastmene	kastmega koos
kastmine	pinnast veega märjaks, niiskeks tegema, hrl et kasvavad taimed vett saaks
kastmisvesi	vesi taimede kastmiseks
Kastna	küla Pärnu maakonnas Pärnu linna halduspiirkonnas (Tõstamaa kihelkonnas)
kastoorõli	riitsinuse seemnetest saadav kollakas kuivamatu õli, mida kasutatakse farmaatsias ja tehnikaseadmete määrdena
kastraat	suguvõimetuks muudetud, kastreeritud mees (vanasti haaremivalvur)
Kastre	küla Tartu maakonnas Kastre vallas (Võnnu kihelkonnas)
kastreerima	hrl isasolendil (loomal või inimesel) sugunäärmeid kõrvaldama või talitlusvõimetuks muutma
kastrul	lamedapõhjaline kõrvade või varrega metallist keedunõu
kasuema	last kasvatav naine, kes pole lapse pärisema
kasuisa	last kasvatav mees, kes pole lapse pärisisa
kasuk	osutab karusnahast rõivale, selle valmistajale, kasuka(s)-
kasulaps	"laps, kes kasvab peres, kus üks või mõlemad vanemad on talle kasuvanemad	 kasvatada võetud laps"
kasulikkus	mingis suhtes kasuks tulemine või otstarbekas olemine, kasutoomine
kasumlik	tulu või kasu toov, kasumit andev
kasumlikkus	võime saada kasumit, kasumi ja tootmiskulude suhe
kasupoeg	"poiss, kes kasvab peres, kus üks või mõlemad vanemad on talle kasuvanemad	 kasvatada võetud meessoost laps"
kasutaja	see, kes kasutab mingit (arvuti)süsteemi, teenust vm vahendit, kes selle abil midagi teeb või sellest abi saab
kasutama	mingit eset, seadet, materjali vm vahendit teataval otstarbel rakendama, selle abil midagi tegema
kasutamine	millegi rakendamine mingil otstarbel, mingiks tegevuseks
kasutatavus	millegi kasutamist võimaldav olek, millegi kasutamine (teenusena)
kasutu	"selline, millel pole tulemust, mis on tagajärjetu	 selline, mida pole vaja, millest pole kasu"
kasutusvalmis	selline, mida saab vajadusel kohe kasutama hakata, kasutamiseks sobivas seisukorras
kasutütar	"kasvatada võetud tütarlaps	 tütarlaps, kes kasvab peres, kus üks või mõlemad vanemad on talle kasuvanemad"
kasvama	(inimeste, loomade jt elusolendite kohta:) aja jooksul pikemaks ja suuremaks muutuma, välja arenema
kasvataja	kasvatamise ja õpetamisega tegelev inimene (ka ametinimetusena, nt laste- või noortelaagris, lastekodus, varasemalt lasteaias)
kasvatama	"õpetama ja suunama, käitumist ja kombeid õpetama vms	 laste eest (vanemana, hooldajana) hoolitsema"
kasvatamatu	häid ning viisakaid kombeid mittetundev, halvasti käituv, sobimatult rääkiv
kasvatuslik	inimese, eriti laste ja noorte füüsilise ja vaimse arengu teadliku kujundamisega seotud, kasvatuseesmärke taotlev
kasvatusteadlane	kasvatusteaduse eriteadlane
kasvatusteadus	inimeste, eeskätt noorte kasvatamist ja õpetamist käsitlev teadus
kasvuhoone	klaasist vm valgust läbilaskvast materjalist katuse ja seintega ehitis kultuurtaimede kasvatamiseks
kasvukas	suurt kasvu, pikka kasvu
kasvulava	soodne keskkond kellegi arenemiseks, arendamiseks või millegi tekkeks, kujunemiseks
kasvuline	kasvamist või kasvu puudutav, sellega seotud
kasvumaja	klaasist vm valgust läbilaskvast materjalist katuse ja seintega ehitis kultuurtaimede kasvatamiseks
kasvutempo	hrl millegi suurenemise, lisandumise või laienemise kiirus
kašelott	avaookeanis elav hiigelsuure külgedelt kokkusurutud peaga vaal
Kaškadarjo	vilajett Usbekistanis
kašuubi keel	lääneslaavi keel, mida kõneldakse Poolas peamiselt Pomorze piirkonnas, üks Poola regionaalkeeltest ehk põlistest piirkondlikest keeltest
Kazbek	mägi Kaukasuses Gruusia ja Venemaa (Osseetia) piiril
Katanga	Kongo DV provints
katarraalne	katarriga, limaskestapõletikuga seotud, sellele omaste nähtudega
kate	millegi pealmine, kattev või kaitsev kiht, materjal või ese
kateeter	torukujuline arstiriist, mille abil viiakse vedelikke kehaõõnde sisse või sealt välja
katel	(suur) pada, üldse (suurem) seade millegi keetmiseks, keetmise teel valmistamiseks, sulatamiseks vm
katke	osa mingist teosest, (kirjalikust) tekstist
katkeline	"korduvalt katkev, katkestusi sisaldav, eraldatud tükkidest koosnev	 lünkadega"
katkelisus	millegi mittepidev, katkendlik toimimine, sujuvuse või järjepidevuse puudumine, katkeline või katkestatud olek
katkemine	millegi ajutine pooleli jäämine või lakkamine, otsasaamine
katkend	osa mingist teosest, (kirjalikust) tekstist
katkendlik	"lünkadega	 korduvalt katkev, katkestusi sisaldav, eraldatud tükkidest koosnev"
katkestama	ajutiseks pooleli jätma, milleski vahet tegema või tekitama
katkestus	"sellisel moel tekkinud paus, vaheaeg vms	 ajutiselt pooleli jäämine või seiskumine, sellise olukorra tekitamine"
katki	"mitmeks osaks, tükkideks või kildudeks, mitte (enam) terveks	 (purunedes) kasutamiskõlbmatuks, rikutuks"
katkuma	millegi küljest, seest või pealt rebima, kiskuma või murdma
katlamaja	hoone, kus paiknevad soojuse tootmiseks vajalikud katel ja selle abiseadmed
katlaruum	kütteseadmete paigutamiseks ettenähtud ruum
katoliiklik	katoliku usu ja kirikuga, katoliiklastega seotud
katoliiklus	Rooma riigi lääneosas kujunenud ristiusu haru, mida iseloomustab paavsti juhitud hierarhiline kirikuorganisatsioon ning tugev kirikuõiguse traditsioon
katoliku	katoliku usu ja kirikuga, katoliiklastega seotud
katoliku usk	Rooma riigi lääneosas kujunenud ristiusu haru, mida iseloomustab paavsti juhitud hierarhiline kirikuorganisatsioon ning tugev kirikuõiguse traditsioon
katolitsism	Rooma riigi lääneosas kujunenud ristiusu haru, mida iseloomustab paavsti juhitud hierarhiline kirikuorganisatsioon ning tugev kirikuõiguse traditsioon
Katowice	linn Poolas
katsatama	(peamiselt haraka kohta:) korra teravalt häälitsema
katsealune	"isik või loom, kellega tehakse katseid	 katsete objektiks olev"
katselend	lend millegi (nt uue lennuki) katsetamiseks
katselendur	uusi lennukeid katsetav, katselende sooritav lendur
katseline	katsetel rajanev või nendega seostuv
katsesarv	(putukatel, ämblikel jt lülijalgsetel:) paarilise kompimis- ja haistmiselundina talitlev jätke pea eesosa küljes
katsetama	(teaduslikku) katset tegema, et uurida või kontrollida millegi omadusi, sobivust vms, teatud meetodil midagi uurima
katsetus	"millegi katsetamine või proovimine	 püüe midagi teha, sooritada või saavutada"
katsetöö	töö vajaliku taseme kindlasktegemiseks, nt konkursil, ametisse astumisel
katsumine	katsumus
katsumus	erilist vastupidavust ja meelekindlust nõudev, kedagi otsekui proovile panev olukord või sündmus
Katšini	Myanmari (Birma) osariik
kattematerjal	materjal katuste, seinte, pehme mööbli vm katmiseks, katteks
katteseemnetaim	hõimkond taimi, mille sugulise paljunemise organiks on õis
kattevara	käibele lastud pangatähtede tagatisena emissioonipangas hoitavad valuutaväärtused - kuld jt väärismetallid, välisvaluuta ja välisriikide väärtpaberid
kattuma	"kokku, ühte langema	 millegagi võrdne olema"
kaua	pikka või palju aega
kaubamaja	suur paljude osakondadega ja laia valikuga kauplus (hrl omaette hoones)
kaubandus	majandusharu, mis hõlmab kõiki kaupade ostu ja müügiga seotud tegevusi ja vastavaid ettevõtteid
kaubandusesindus	kaubandusalane esindus teises riigis
kaubanduslik	kaubanduse või äritegevusega seotud
kaubareis	asjade ostmiseks, peamiselt poodides käimiseks mõeldud reis
kaubastuma	müüdavaks-ostetavaks asjaks muutuma, ärihuvidele alluma
kaubatee	kaubaretkede või -vedude tee
kaubik	"kinnise kerega või paigaldatava kattega veoauto	 kinnise kaubaruumiga sõiduauto või kaubabuss"
kaubitseja	kauba pakkuja ja müüja
kaubitsema	(tasapisi, väikest viisi) kauplema, äri tegema või hangeldama
kaud	millegi vahendusel või kaudu toimuv või väljenduv
kaude	mitte otse, vaid millegi vahendusel
kaudne	millegi vahendusel või kaudu toimuv või väljenduv
kaudselt	mitte otse, vaid millegi vahendusel
kaudu	mingist kohast läbi (kuhugi minemisel, siirdumisel, kulgemisel)
kauem	rohkemat või pikemat aega
kauemini	rohkemat või pikemat aega
kaug	kaugele minev või kaugelt tulev, pika vahemaaga seotud
kaugbuss	buss pikkade vahemaade läbimiseks (nt kaugliinide või rahvusvaheliste liinide buss)
kauge	pika vahemaa taga asuv
kaugel	"pika vahemaa taga	 eemal"
kaugele	"pika vahemaa taha	 eemale"
kaugelenägelik	tulevikuperspektiivi nägev, võimalikke kaugemaid tagajärgi ja asjaolusid ettearvestav
kaugelenägev	"tulevikuperspektiivi nägev, võimalikke kaugemaid tagajärgi ja asjaolusid ettearvestav	 (silmanägemisega seoses:) lähedale halvasti nägev"
kaugelt	"pika vahemaa tagant	 eemalt"
kaugeltki	(rõhutava sõnana:) mitte vähimalgi määral
kaugendama	"kauge(ma)ks muutuma	 kauge(ma)le, eemale viima"
kaugenema	"kaugemale, eemale liikuma või minema	 üha kaugemale jääma"
kaugjuhtimine	seadmete juhtimine ja kontrollimine eemalt nt kaugjuhtimispuldi, arvuti, GSM-i abil
kaugküte	linnades ja tiheda asustusega piirkondades kasutatav keskküttesüsteem, kus paljusid hooneid köetakse samast soojusallikast väljastpoolt köetavat maja
kauglevi	kaugele edasikandumine
kaugliinibuss	buss pikkade vahemaade läbimiseks (nt kaugliinide või rahvusvaheliste liinide buss)
kaugnägelik	(silmanägemisega seoses:) lähedale halvasti nägev
kaugnägev	(silmanägemisega seoses:) lähedale halvasti nägev
kaugnägija	kaugnägelik inimene
kaugside	informatsiooni edastamine ja vastuvõtmine elektriliste meetoditega (nt raadioside, telefon, telegraaf vm kaugside)
kaugsõit	kaugele, väga pika vahemaa taha ja tagasi sõitmine (nt kaubaveol, laevaliinil)
kaugtõendama	tehingut õiguslikult kinnitama ilma füüsiliselt notari juurde minemata
kaugtöö	töö tegemine kodus, kohvikus vm, mitte tööandja kontoris, hrl kasutades arvutit ja sidekanaleid
