Katsesõna;Tähendus;Hindaja_1;Hindaja_2;Hindaja_3;Koondarvamus;split
sehkendama;millegagi tegevuses olema, siia-sinna liikudes askeldama;EI;JAH;JAH;JAH;eval
sellane;selleaegne;EI;JAH;JAH;JAH;eval
sellane;selline, niisugune;EI;JAH;JAH;JAH;eval
semmima;kellegagi sõbrustama, teda meelitama, hrl millegi saavutamise nimel;EI;JAH;JAH;JAH;eval
sihverplaat;(näo kohta);EI;JAH;JAH;JAH;eval
sihverplaat;kella, mõõteriista tunni- vm jaotisega osa;EI;EI;JAH;EI;eval
siilipea;lühikeseks lõigatud püstjuuksed;EI;JAH;JAH;JAH;eval
sindrima;leebe kirumissõna, mida kasutatakse kellegi või millegi üle pahandades, kedagi sarjates, harva ka tunnustades;EI;JAH;JAH;JAH;eval
sitane;räpane, väga määrdunud, mustusega või sitaga koos;EI;JAH;JAH;JAH;eval
sitaratas;(sõimusõna);EI;JAH;JAH;JAH;eval
sittuma;päraku kaudu väljaheiteid, rooja väljutama;EI;JAH;JAH;JAH;eval
sogama;segast juttu rääkima, millegi kohta vassima, fakte moonutama;EI;JAH;JAH;JAH;eval
sosku;lutipudel või lutt;EI;JAH;JAH;JAH;eval
spets;inimene, kes teab teatud valdkonnast palju inimene, kes tunneb hästi oma ala, hrl vastava haridusega inimene;JAH;JAH;JAH;JAH;eval
stepsel;paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada;EI;EI;JAH;EI;eval
studeerima;(kõrgkoolis) õppima;EI;JAH;JAH;JAH;eval
studeerima;uurima, tundma õppima;EI;EI;JAH;EI;eval
surmalaupäev;(aja kohta vahetult enne surma, surma läheduse kohta);EI;JAH;JAH;JAH;eval
susla;endisaegne kitsarööpmelise raudtee rong või vedur;EI;JAH;JAH;JAH;eval
säh;(andmise, pakkumisega kaasnev väljend:) võta! võta vastu!;EI;JAH;JAH;JAH;eval
sähke;(andmise, ulatamise, pakkumisega kaasnev väljend:) võtke (vastu)!;EI;JAH;JAH;JAH;eval
sünt;klaverit meenutav elektrooniline muusikariist, mis tekitab ja töötleb helisid;JAH;JAH;JAH;JAH;eval
süümekas;suur hingeline kannatus omaenese (halbade) tegude ja teistele põhjustatad kahju pärast, südametunnistuse piin;JAH;JAH;JAH;JAH;eval
süütis;süüde, tulehakatis;EI;EI;EI;EI;eval
tagument;istmik, tagumik;EI;JAH;JAH;JAH;eval
taguots;tagumik, istmik;EI;JAH;JAH;JAH;eval
tagupool;kehaosa, millel istutakse see osa kehast, mille peal sa istud;EI;JAH;JAH;JAH;eval
takkajärele;millegi toimumisest hiljem, mingi aja järel millegi toimumisest hiljem, pärastpoole, teatud aja järel;EI;EI;JAH;EI;eval
takkatraavi;muule lisaks, ka veel;EI;JAH;JAH;JAH;eval
tankist;isik, kelle nime all tegutseb keegi teine;EI;JAH;JAH;JAH;eval
tatikas;(lapse, liiga noore inimese kohta, ka halvustavalt või sõimusõnana);EI;JAH;JAH;JAH;eval
tatitõbi;(nohu kohta);EI;JAH;JAH;JAH;eval
tattnina;(lapse, liiga noore inimese kohta, ka halvustavalt või sõimusõnana);EI;JAH;JAH;JAH;eval
teisesooihar;inimene, kes tunneb seksuaalset ja emotsionaalset tõmmet teisest soost inimese vastu;EI;JAH;JAH;JAH;eval
teisesooihar;teisest soost inimese vastu seksuaalset ja emotsionaalset tõmmet tundev;EI;JAH;JAH;JAH;eval
tengelpung;väike kott raha hoidmiseks ja kaasaskandmiseks väike kott raha jaoks;EI;EI;JAH;EI;eval
tips;tütarlaps, neiu;EI;JAH;JAH;JAH;eval
tipsi;tütarlaps, neiu;EI;JAH;JAH;JAH;eval
tissitama;last rinnaga toitma;EI;JAH;JAH;JAH;eval
tohm;rumal, ohmakas, loll;EI;JAH;JAH;JAH;eval
tohmakas;rumal, ohmakas, loll;EI;JAH;JAH;JAH;eval
tohter;arst (kasutatakse sageli arsti perekonnanime ees) inimene, kelle töö on haigeid ravida kõrgema meditsiinilise haridusega inimene, kellele on antud õigus haigeid uurida ja ravi määrata;EI;EI;JAH;EI;eval
tolk;aru, mõistus, taip(amine);EI;JAH;JAH;JAH;eval
topka;viina- vms pits väike napsiklaas, (viina)pits;EI;JAH;JAH;JAH;eval
toto;kihlveokassa (nt hobuste võiduajamistel);EI;JAH;JAH;JAH;eval
totu;(hrl heatahtlikult:) rumal, taipamatu;EI;JAH;JAH;JAH;eval
transa;transportimine, vedu;JAH;JAH;JAH;JAH;eval
transa;transporditööline;JAH;JAH;JAH;JAH;eval
trukk;hoog rõhk, surve;JAH;JAH;JAH;JAH;eval
trööpama;ohtralt kasutama, selle tõttu (ära) kulutama või rikkuma;EI;EI;JAH;EI;eval
tsiviil;erariie (hrl vastanduses sõjaväevormile);JAH;EI;JAH;JAH;eval
tudeerima;uurima, tundma õppima;EI;EI;EI;EI;eval
tudeerima;(kõrgkoolis) õppima;EI;JAH;EI;EI;eval
tuksi;korrast ära mineku kohta, nt rikki, katkiseks, haigeks;EI;JAH;JAH;JAH;eval
tuksis;korrast ära, nt rikkis, katki, haige;EI;JAH;JAH;JAH;eval
turva;inimene, kelle töö on valvata ja kaitsta mingit hoonet, inimest või asutust töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm;JAH;JAH;JAH;JAH;eval
täkutama;käivitusjuhtmete abil teiselt akult autot käivitama;JAH;JAH;JAH;JAH;eval
uimama;(uimasena) aeglaselt liikuma või tegutsema;EI;JAH;JAH;JAH;eval
umbluu;(millegi või kellegi ebateaduslikuks või muidu kahtlaseks peetava kohta, hrl seoses mitmesuguste pseudoteadustega, para- ja alternatiivõpetustega) segane, mitte tõsiselt võetav jutt, jama, totrus;EI;JAH;JAH;JAH;eval
vaikelu;vaikne ja rahulik, oluliste sündmusteta ja tegevuseta olek;EI;EI;EI;EI;eval
vanakas;(likööri Vana Tallinn kohta);JAH;JAH;JAH;JAH;eval
veering;raha, eriti väiksem rahasumma;EI;JAH;JAH;JAH;eval
vereproov;analüüsimiseks soonest eraldatud veri;EI;EI;JAH;EI;eval
vesistama;kui sa nutad, siis voolavad su silmadest pisarad, sest sa oled kurb või sul on valus kurbust, muret, valu vm pisaratega väljendama;EI;EI;JAH;EI;eval
võmm;inimene, kes töötab politseis politseiasutuses töötav isik;JAH;JAH;JAH;JAH;eval
võrr;väikesemahulise mootoriga kaherattaline sõiduk, abimootoriga jalgratas;EI;JAH;JAH;JAH;eval
õudselt;väga, äärmiselt;EI;EI;JAH;EI;eval
äpu;inimene, kelle käes kõik äpardub, saamatu inimene;EI;JAH;JAH;JAH;eval
ärikas;vaheltkasu teenimisega tegeleja, hrl ebaseadusliku äriga tegeleja;EI;JAH;JAH;JAH;eval
üle soolama;liialdama, üle pakkuma;EI;JAH;JAH;JAH;eval
aastanumber;kalendriaastat märkiv arv;EI;EI;JAH;EI;eval
ahnepäits;ahne loom või inimene;EI;EI;JAH;EI;eval
ainsam;ainult üks selline, mida või keda on ainult üks;JAH;EI;JAH;JAH;eval
ainumalt;ainult, üksnes;EI;EI;JAH;EI;eval
ajutu;totter, ogar, napakas;EI;EI;JAH;EI;eval
ajuvaba;totter, ogar, napakas;EI;EI;JAH;EI;eval
akuraat;(pedantselt) korralik või korras, nõudeid järgiv või nõuetele täpselt vastav;EI;JAH;JAH;JAH;eval
akuraatne;(pedantselt) korralik või korras, nõudeid järgiv või nõuetele täpselt vastav;EI;JAH;JAH;JAH;eval
alko;joogid, mis sisaldavad alkoholi, näiteks viin, õlu ja vein joovastava toimega jook (nt vein, õlu, viin), mille kangus tuleneb joogis sisalduvast etanooli hulgast;JAH;JAH;JAH;JAH;eval
alla jätma;hinda alandama, odavamalt müüma kui esialgu küsitud;JAH;JAH;JAH;JAH;eval
alt minema;mingis toimingus, otsuses eksima petta saama;EI;EI;JAH;EI;eval
alt tõmbama;kedagi petma, tüssama;EI;JAH;JAH;JAH;eval
alukad;(lühikesed) püksid, mida inimene kannab teiste riiete all pesuese, mida kantakse vastu ihu alakeha katteks;JAH;JAH;JAH;JAH;eval
amort;löökide, tõugete ja vibratsiooni mõju leevendav seadis;EI;EI;JAH;EI;eval
amps;(hammustatud) suutäis;EI;EI;JAH;EI;eval
apetiit;soov, tahtmine süüa;EI;EI;JAH;EI;eval
aplodisment;pihkude plaksu(de)ga kokkulöömine heakskiidu- või poolehoiuavaldusena selle heli;EI;EI;JAH;EI;eval
aps;eksitus, viga, eksimus;EI;EI;JAH;EI;eval
apsakas;eksitus, viga, eksimus;EI;JAH;JAH;JAH;eval
arapp;mingi maa-ala sissepiiramine ja läbiotsimine jälitatava(te) tabamiseks;EI;EI;JAH;EI;eval
arstitäht;arsti (kirjalik) ettekirjutus, mille alusel patsiendile väljastatakse apteegist sobiv ravim see, mille alusel saab apteegist teatud ravimeid osta;EI;JAH;JAH;JAH;eval
asjaline;asjamees, (tähtis) tegelane see, kes asju ajab või korraldab;EI;JAH;JAH;JAH;eval
asjalugu;asjade seis või käik, olukord teatud hetkel;EI;JAH;JAH;JAH;eval
asjamees;(tähtis) ametimees, (tähtsalt) milleski osalev inimene;EI;JAH;JAH;JAH;eval
atskoo;kaardimäng, kus võidab see mängija, kelle kaartide punktisumma on kõige suurem, aga ei ületa 21;EI;JAH;JAH;JAH;eval
augutäide;see, mis või kes mingit lünka, tühikut täidab;EI;JAH;JAH;JAH;eval
autolammutus;töökoda, kus lammutatakse autosid ja kaubeldakse nende töökõlblike osadega;EI;EI;JAH;EI;eval
baarman;baaris hrl baarileti taga külastajaid teenindav kelner inimene, kelle töö on baaris leti taga külastajaid teenindada;EI;EI;JAH;EI;eval
bakid;ainult kõrvade ette ribana kasvatatud habe;EI;EI;JAH;EI;eval
banaanivabariik;väike, hrl ühele (kitsale) valdkonnale keskendunud maa, mis on seetõttu majanduslikult ja poliitiliselt ebakindel;EI;JAH;JAH;JAH;eval
bardakk;kindla, ettenähtud korra puudumine millegi toimimises (nt asutuses, süsteemis);JAH;JAH;JAH;JAH;eval
beib;välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine;EI;JAH;JAH;JAH;eval
beibe;välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine;EI;JAH;JAH;JAH;eval
bemar;üks Bayerische Motoren Werke AG automarke;JAH;JAH;JAH;JAH;eval
bemm;üks Bayerische Motoren Werke AG automarke;JAH;JAH;JAH;JAH;eval
bläkk;piinlik tegu või olukord;JAH;JAH;JAH;JAH;eval
bolonka;Lõuna-Itaaliast pärit väike valge karvaga koer, üks koeratõuge;EI;EI;JAH;EI;eval
boss;peremees, juht, ülemus;EI;JAH;JAH;JAH;eval
bronn;hotellikoha, pileti vm tagamine, eelnevalt kinnipanek seda tõendav dokument;JAH;JAH;JAH;JAH;eval
bronnima;(kohta, ruumi, pileteid vm) ette tellima või kinni panema, millegi saamist tagama midagi enda jaoks kinni panema, näiteks tuba hotellis, kohti või ruumi restoranis;JAH;EI;JAH;JAH;eval
bukahoolik;inimene, kes kirglikult armastab raamatuid, on nendest sõltuvuses;EI;JAH;JAH;JAH;eval
burks;kahe poolega kukkel, mille vahel on liha ja muud lisandid toit, kus kahe saia vahel on näiteks soe kotlet, juust, tomat, hapukurk ja salat koos kastmega;JAH;JAH;JAH;JAH;eval
bänner;pikk kitsas kujundatud reklaamtekst (nt veebilehel);EI;EI;JAH;EI;eval
dalmaatslane;mänguhimuline koer, kellel on iseloomulik valge tumedate tähnidega sile karv;EI;EI;JAH;EI;eval
diil;rahaline, äriga seotud toiming või kokkulepe toiming või seotud toimingute kogum, milles sisaldub vähemalt üks õiguslikku tagajärge kaasa toov tahteavaldus;JAH;JAH;JAH;JAH;eval
diip;tunnetuse poolest sügav ja mõttetihe;JAH;JAH;JAH;JAH;eval
dino;suur sisalikulaadne ürgaja roomaja;EI;JAH;JAH;JAH;eval
disklahv;keeld mingi aja jooksul spordivõistlustel osaleda;EI;EI;JAH;EI;eval
dokk;dokumentaalfilm või -sari;JAH;JAH;JAH;JAH;eval
drinkima;alkoholi jooma;JAH;JAH;JAH;JAH;eval
dubljonka;pööratud lambanahkne (pool)kasukas;EI;JAH;JAH;JAH;eval
ebaklapp;ebakõla, sobimatus;EI;JAH;JAH;JAH;eval
ehitusmees;ehitaja, ehitustööline;EI;EI;JAH;EI;eval
ekreiit;Eesti Konservatiivse Rahvaerakonna (EKRE) liige;JAH;JAH;JAH;JAH;eval
eks;endine abikaasa või elukaaslane;EI;JAH;JAH;JAH;eval
eksmatt;kustutamine üliõpilaste nimekirjast enne ülikooli lõpetamist;JAH;JAH;JAH;JAH;eval
ekstreem;põnevust, pinget, erutust pakkuv olukord;JAH;EI;JAH;JAH;eval
elektrikontakt;paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada;EI;EI;JAH;EI;eval
eputrilla;edvistav, eputav inimene;EI;JAH;JAH;JAH;eval
eraots;rahateenimiseks tehtav (eraviisiline) kõrvaltöö;EI;JAH;JAH;JAH;eval
ersats;mittetäisväärtuslik, järeletehtud aine, ese vm, alaväärtuslik aseaine;EI;JAH;JAH;JAH;eval
etem;omaduste, kvaliteedi poolest suuremal määral hea omaduste, võimete, seisundi vm poolest millestki või kellestki rohkem väärt olev;EI;EI;JAH;EI;eval
ets kae;väljendab imestust, üllatust, vahel ka pahameelt;EI;JAH;JAH;JAH;eval
etsa kae;väljendab imestust, üllatust, vahel ka pahameelt;EI;JAH;JAH;JAH;eval
eur;Euroopa Liidu rahaühik. Ühes euros on 100 senti Euroopa Liidu suurem rahaühik, Euroopa ühisraha;JAH;JAH;JAH;JAH;eval
exclusive;eksklusiivne, teistest eristuv;JAH;JAH;JAH;JAH;eval
fanatt;mingi tegevusala, valdkonna kirglik harrastaja või huviline;EI;EI;JAH;EI;eval
flaier;kontserdile või muule üritusele kutsuv reklaamleht;EI;EI;JAH;EI;eval
friik;millegi liialdatud pooldaja või millestki eriti huvitatud isik, vahel kuni veidruseni veidrik;JAH;JAH;JAH;JAH;eval
funk;1920. aastail tekkinud arhitektuuri, tarbe- ja tööstuskunsti suund, mis ehitiste, esemete vms vormi kujundamisel lähtub eeskätt nende otstarbest ehk funktsioonist, mitte niivõrd esteetilisest küljest;EI;JAH;EI;EI;eval
funkama;(esemete, nähtuste kohta:) tegevuses või töökorras olema, (kindla ülesandega) töötama, (teatavas rollis) toimima;JAH;JAH;JAH;JAH;eval
funktsima;(esemete, nähtuste kohta:) tegevuses või töökorras olema, (kindla ülesandega) töötama, (teatavas rollis) toimima;JAH;JAH;JAH;JAH;eval
geps;seade, mis võimaldab üle maailma määrata asukohta kogu maailma hõlmava tehiskaaslaste võrgu abil;JAH;JAH;JAH;JAH;eval
haip;ülespuhutud reklaam, ülepakutud vaimustus;JAH;JAH;JAH;JAH;eval
haipima;innukalt midagi esile tõstma, midagi kiitma, et tähelepanu saada;JAH;JAH;JAH;JAH;eval
hall pass;Eesti kodakondsuseta isiku pass Eestis (passi kaanevärvi järgi);EI;JAH;JAH;JAH;eval
hallukas;tajuelamus või aisting ilma välismaailma reaalse stiimulita, (haiguslik) tajumishäire;JAH;JAH;JAH;JAH;eval
hanejalad;jutumärgid;JAH;JAH;JAH;JAH;eval
hašš;eesti tähestiku täht täht eesti tähestikus vastav häälik;EI;JAH;JAH;JAH;eval
heureka;hea mõte, avastuslik idee;EI;EI;JAH;EI;eval
hiirekäsi;haigusseisund, mis tekib suure närvi pitsumisel randmekanalis ja millele on iseloomulik käe tuimenemine, torked vms;EI;JAH;JAH;JAH;eval
hirmsasti;väga, äärmiselt;EI;EI;JAH;EI;eval
hitt;väga menukas laul, film, teatrietendus vms teos;EI;EI;EI;EI;eval
homo;inimene, kes tunneb seksuaalset ja emotsionaalset tõmmet samast soost inimese vastu;EI;JAH;JAH;JAH;eval
hruštšovka;peamiselt 1960. aastatel levinud väikeste korteritega tüüpelamu;EI;JAH;EI;EI;eval
hullu;hullupööra, pööraselt;JAH;JAH;JAH;JAH;eval
hundituline;naps viina viin;EI;JAH;JAH;JAH;eval
häbemata;väga suurel määral, hästi palju;EI;EI;JAH;EI;eval
häbematane;häbematu;JAH;JAH;JAH;JAH;eval
hädapätakas;hädine, saamatu inimene;EI;JAH;JAH;JAH;eval
hääletoru;(sõnumi edasiandmise abinõu, vahendi kohta) kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms;EI;JAH;JAH;JAH;eval
idiootsus;ülim totrus, suur rumalus;EI;EI;JAH;EI;eval
igasugu;igat liiki, igat laadi mis tahes, ükskõik milline paljudest eri liikidest, iga liiki või laadi ükskõik milline;EI;EI;EI;EI;eval
igatekanti;igal moel, igas suhtes igas suhtes, igas mõttes igas suhtes, igas mõttes, igal moel;JAH;JAH;JAH;JAH;eval
igatemoodi;igal moel, igas suhtes igas suhtes, igas mõttes igas suhtes, igas mõttes, igal moel;JAH;EI;JAH;JAH;eval
igateviisi;igal moel, igas suhtes igas suhtes, igas mõttes igas suhtes, igas mõttes, igal moel;JAH;EI;JAH;JAH;eval
ilmatu;väga, määratult;EI;EI;EI;EI;eval
ilmatuma;väga suur;EI;JAH;JAH;JAH;eval
ilmatuma;väga, määratult;EI;JAH;JAH;JAH;eval
ilmvõimatu;täiesti võimatu;EI;EI;EI;EI;eval
ilueedi;edev, ennast imetlev mees, kes oma välimusele suurt rõhku paneb, hrl peenutsedes või liialdades rõivastusega;JAH;JAH;JAH;JAH;eval
in;moes, soositud, päevakorral;JAH;JAH;JAH;JAH;eval
individuaal;aiaga maja, kus elab tavaliselt üks pere eravalduses olev, hrl ühele perele mõeldud elamu;EI;EI;EI;EI;eval
inf;andmed või faktid, mis iseloomustavad mingit nähtust, protsessi, asja vm andmed, faktid selliste andmete ja teadete edasiandmine;JAH;JAH;JAH;JAH;eval
infra;ühiskonna või ettevõtte tööks vajalikud vahendid, tegevused ja teenused (nt internetiühendus, tänavavõrk, veevarustus);JAH;EI;EI;EI;eval
inimesetükk;(inimese kohta, hrl mingit tema omadust esile tuues);EI;JAH;EI;EI;eval
intensiiv;intensiivravi osakond või palat;JAH;EI;EI;EI;eval
inter;kooli ühiselamu;JAH;EI;EI;EI;eval
ism;suund, vool, koolkond vms;EI;EI;EI;EI;eval
issameie;ristiusu üks tuntumaid palveid, millel on keskne koht kristlike kirikute liturgias;EI;EI;EI;EI;eval
issanda;täiesti, läbini, üleni;JAH;JAH;JAH;JAH;eval
itimees;inimene, kes kavandab, loob, testib, juurutab ja haldab tarkvaralahendusi;JAH;JAH;JAH;JAH;eval
jaagup;jaagupipäev;JAH;EI;JAH;JAH;eval
jaan;jaanipäev (24. juuni), ka selle lähedased päevad;JAH;EI;JAH;JAH;eval
jahmerdama;ebaolulisega, kõrvalisega tegelema, segadust tekitades tegutsema;JAH;EI;EI;EI;eval
jahuma;millestki tüütuseni palju rääkima;JAH;JAH;EI;JAH;eval
jahupea;(kergesti unustava või taipamatu, juhmi inimese kohta);JAH;JAH;JAH;JAH;eval
jalakeerutus;tants;EI;EI;EI;EI;eval
jalka;sportlik mäng, kus üks võistkond püüab palli jalaga teise võistkonna väravasse lüüa sportmäng, milles kumbki meeskond püüab palli jalaga (või peaga) lüües vastaspoole väravasse saata;JAH;JAH;JAH;JAH;eval
japs;(jaapanlase kohta);JAH;JAH;EI;JAH;eval
jeerum;(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm);JAH;JAH;JAH;JAH;eval
jeever;(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm);JAH;JAH;JAH;JAH;eval
jessake;(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm);JAH;JAH;JAH;JAH;eval
jessas;(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm);JAH;JAH;JAH;JAH;eval
jesseke;(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm);JAH;JAH;JAH;JAH;eval
jesses;(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm);JAH;JAH;JAH;JAH;eval
jessuke;(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm);JAH;JAH;JAH;JAH;eval
jestas;(esineb tunderõhulistes hüüatustes, väljendab ehmatust, imestust, üllatust, hädaldust vm);JAH;JAH;JAH;JAH;eval
joba;jabur jutt, loba, lora;JAH;JAH;JAH;JAH;eval
jobama;jamajuttu rääkima;JAH;JAH;JAH;JAH;eval
jobi;lühiajaline, juhuslikum töö(võimalus);JAH;JAH;JAH;JAH;eval
jobin;lobajutt;JAH;JAH;JAH;JAH;eval
jobisema;lobisema, lobajuttu ajama omaette pomisema;JAH;JAH;JAH;JAH;eval
jobu;tobu, lollakas;JAH;JAH;JAH;JAH;eval
jobujutt;rumal, tühine jutt;JAH;JAH;JAH;JAH;eval
jobusk;tobu, lollakas;JAH;JAH;JAH;JAH;eval
johmane;alkoholist uimane joobnud;JAH;JAH;JAH;JAH;eval
jokk;läbi, otsas, valmis;JAH;JAH;EI;JAH;eval
jokutama;niisama vahtima, mõttetult logelema, aega viitma;JAH;EI;JAH;JAH;eval
joomakõri;inimene, kes joob liiga palju alkoholi ja on sellest sõltuvuses inimene, kes ülemäära tarvitab alkohoolseid jooke, on alkoholist sõltuvuses;JAH;JAH;JAH;JAH;eval
joomamees;joodik, napsimees;JAH;JAH;JAH;JAH;eval
jopastama;hästi minema, juhuslikult vedama, õnnestuma;JAH;JAH;JAH;JAH;eval
jora;tüütav, rumal jutt, sisutu loba;JAH;JAH;JAH;JAH;eval
jospel;(kogenematu noormehe, poisinolgi, jõmpsika kohta);JAH;EI;JAH;JAH;eval
jota;alkoholi armastav inimene, kõva viinavõtja, joodik;JAH;JAH;JAH;JAH;eval
jube;väga, äärmiselt;EI;JAH;EI;EI;eval
jubin;mingi väike hrl uudne asi või detail, mingi masinavärgi osa, (naljakas) asjake või seade;JAH;EI;EI;EI;eval
jublakas;mingi väike hrl uudne asi või detail, mingi masinavärgi osa, (naljakas) asjake või seade;JAH;JAH;JAH;JAH;eval
julgustükk;julgust nõudev tegu;EI;EI;EI;EI;eval
jumala;täiesti, läbini, üleni;JAH;JAH;JAH;JAH;eval
jumbu;väike (vahva, tore) poiss, poisike või poisiohtu nooruk;JAH;EI;JAH;JAH;eval
junts;väike (vahva, tore) poiss, poisike või poisiohtu nooruk;JAH;EI;JAH;JAH;eval
juntsu;väike (vahva, tore) poiss, poisike või poisiohtu nooruk;JAH;EI;JAH;JAH;eval
jupstükk;mingi väike hrl uudne asi või detail, mingi masinavärgi osa, (naljakas) asjake või seade;JAH;JAH;EI;JAH;eval
jura;rumal, mõttetu, sihita tegu, jutt vms;JAH;JAH;JAH;JAH;eval
justament;(rõhutab, tõstab esile, kinnitab midagi:) just, nimelt, täpselt, just nii;EI;EI;EI;EI;eval
jutilt;ühe hooga, ilma katkestamata;EI;EI;EI;EI;eval
jutumoor;palju rääkida armastav naine, kuulujuttude levitaja;JAH;JAH;JAH;JAH;eval
jututama;juttu ajama, vestlema;EI;EI;JAH;EI;eval
juudikirss;harilik füüsal, troopiline või lähistroopiline rohttaim, millel on laternat meenutava kattega kirsstomatit meenutavad viljad, Eestis ka ilutaim;EI;EI;EI;EI;eval
jõle;väga, eriti, hiiglama;JAH;JAH;EI;JAH;eval
jõletu;väga, eriti, hiiglama;JAH;JAH;EI;JAH;eval
jõlkuma;kuskil ilma kindla sihita viibima või liikuma, niisama logelema;JAH;EI;EI;EI;eval
jõrm;(karmi, tahumatu vms inimese kohta);EI;JAH;EI;EI;eval
jõujuurikas;tugev rässakas inimene (hrl mees);JAH;JAH;JAH;JAH;eval
jäärama;naistekütina elama, ringi tõmbama;JAH;EI;JAH;JAH;eval
kaak;pahandusi tegev, huligaanse käitumisega (noor) inimene;JAH;JAH;EI;JAH;eval
kaameramees;filmi-, teleoperaator filmimaterjali ülesvõtja, filmiteose pildilahenduse looja;EI;JAH;EI;EI;eval
kaater;joobejärgne haiglane seisund;JAH;EI;JAH;JAH;eval
kaema;vaatama;EI;EI;EI;EI;eval
kagebiit;NSV Liidu Riikliku Julgeoleku Komitee (KGB) töötaja;JAH;JAH;JAH;JAH;eval
kahemees;õpilane, kelle hinded on koolis põhiliselt kahed, kehv õpilane;JAH;JAH;JAH;JAH;eval
kahvanägu;valge inimene (varem hrl vastandatult indiaanlasele ehk punanahale, nüüd ka muile);JAH;JAH;EI;JAH;eval
kaifima;nautima;JAH;JAH;EI;JAH;eval
kainer;asutus, kuhu joobnud tuuakse kainenema vastav hoone või ruumid;JAH;EI;EI;EI;eval
kaisukas;pehme mänguloom (hrl antakse väikelapsele õhtul voodisse kaasa);JAH;JAH;EI;JAH;eval
kaka;roe, väljaheide;JAH;JAH;EI;JAH;eval
kaki;roe, väljaheide;JAH;JAH;JAH;JAH;eval
kaksama;järsku, ühe korraga (katki, küljest, lahti) rebima, äkki tõmbama;EI;EI;EI;EI;eval
kalavinski;kalamehesaabas omaaegne (kollasest või kollakaspruunist juhtnahast) säärsaabas;EI;EI;EI;EI;eval
kalkar;närustes riietes, hrl allakäinud, saamatu või muidu alavääristatav inimene;JAH;JAH;EI;JAH;eval
kama;mitmesugused esemed, kaup või kraam;JAH;JAH;JAH;JAH;eval
kambakas;kambakesi kallaleminek;JAH;JAH;EI;JAH;eval
kamorka;väike, kitsas (ja pime) ruum;EI;JAH;EI;EI;eval
kamp;(väiksem, kahtlustäratav) rühm koos viibivaid või üheskoos, ühel alal tegutsevaid inimesi;EI;EI;EI;EI;eval
kamps;soe pikkade varrukatega riideese, mis katab keha ülemist poolt varrukatega, üle pea selga tõmmatav või eest lahti käiv silmkoeese;JAH;JAH;EI;JAH;eval
kampsik;soe pikkade varrukatega riideese, mis katab keha ülemist poolt varrukatega, üle pea selga tõmmatav või eest lahti käiv silmkoeese;JAH;EI;EI;EI;eval
kann;üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku;JAH;JAH;JAH;JAH;eval
kannäe;väljendab imestust, üllatust, vahel ka pahameelt;JAH;JAH;JAH;JAH;eval
kantpea;hrl siilisoenguga või paljaks pöetud peaga turske tüüp (hrl kuritegeliku taustaga);JAH;JAH;EI;JAH;eval
kantseleirott;kantseleiametnik;JAH;JAH;JAH;JAH;eval
kanäe;väljendab imestust, üllatust, vahel ka pahameelt;JAH;JAH;JAH;JAH;eval
kapakali;kodus valmistatud õlu;JAH;EI;EI;EI;eval
kaperdama;vaevaliselt, komistades, aeglaselt käima;JAH;EI;EI;EI;eval
kapremont;hoonete, masinate või seadmete põhjalik parandamine, uuendamine või (täielik) ümberehitamine;EI;EI;EI;EI;eval
kapsastuma;kasutamisest katkiseks, räbaldunuks, narmendavaks muutuma;EI;EI;EI;EI;eval
kaputt;katki, mokas omadega läbi;JAH;JAH;EI;JAH;eval
karauulima;luurama, passima valvama, vahti pidama;JAH;EI;EI;EI;eval
karauulitama;luurama, passima valvama, vahti pidama;JAH;EI;EI;EI;eval
karbuss;sisepõlemismootori osa, kus moodustub küttesegu vedelkütusest ja õhust;JAH;JAH;EI;JAH;eval
karjanaine;naine, kelle töö on laudas veiste eest hoolitseda;EI;JAH;EI;EI;eval
karman;riideeseme osa, mille sisse saab asju panna rõiva või muu eseme peale või sisse õmmeldud detail, kuhu saab panna asju;EI;EI;JAH;EI;eval
karts;ruum, hrl üksikkong distsiplinaarkaristuse kandmiseks (eriti omal ajal sõjaväes, vanglates, ülikoolides);EI;EI;EI;EI;eval
karuott;põhjapoolkera suurtes metsades elav kogukas pruuni karvkattega kiskja suur metsloom, kellel on paks pruun karv;EI;EI;JAH;EI;eval
