märksõna;Tähendus(ed) (ÕS, ÜS);GPT-4o (17.05.24);"sildid
(valdkonnad suurtähtedes)";GPT 4 (27.03.24);sildid;Leksikograafi hinnang: SKMi järgi ÜSi pakutav registrimärgend või registrita;ÜK 2023: esinemisjuhud (konkordantsi järgi + sagedus per mln);"ÜK 2023: TOPIC
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023: GENRE
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023 konkordantsi uurimise järgi märkmeid
(random sample 200)";Leksikograafi hinnang: korpuse järgi ÜSi pakutav registrimärgend või registrita;Leksikograafi hinnang: mudel vs. korpus (mille poolest sarnanesid või erinesid);märkmed, mida ei oska kuhugi;Allikas (ÕS või ÜS);Orig. allika märgend;Teise allika märgend (27.–30.05.2024);"Kas SKM oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(kvalitatiivne analüüs hiljem)";"Kas korpus oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(nt sõna sagedus korpuses?)";"Kas SKM ja korpus täiendasid teineteist?
(jah/ei)";mille poolest täiendasid/erinesid?;"Kas märgendite pakkumine erineb SKMi ja korpuse puhul? 
(jah/ei)";"Leksikograafi pakkumine SKMi põhjal vs. originaalallikas?
(sama/mitte)";"Leksikograafi pakkumine korpuse põhjal vs. originaalallikas?
(sama/mitte)";"orig. allikas on argi/kõnek, aga SKMi ja/või korpuse järgi ei hinda nii
(täita ainult siis, kui jah;
vastupidi = SKM/korp pakkus kõnek, aga allikas polnud)"
lõppjärk;"ÕS: [tähendust pole]
ÜS: mingi protsessi või tegevuse viimane järk";kasutatakse tavaliselt tekstides, mis käsitlevad protsesside või projektide etappe, eriti kui viidatakse viimasele või lõplikule etapile. Seda võib leida näiteks järgmistes kontekstides: 1. Projektijuhtimine: Kirjeldades projekti viimast faasi, kus viiakse läbi lõplikud tegevused ja projekt lõpetatakse. 2. Tootearendus: Viidates toote arendamise viimasele etapile enne turule toomist. 3. Teadustööd ja uurimused: Kirjeldades uurimisprotsessi viimast etappi, kus tehakse järeldused ja koostatakse lõpparuanne. 4. Haridus ja koolitus: Viidates õppeprotsessi viimasele osale, näiteks lõputöö kirjutamisele või eksamite sooritamisele. 5. Ehitus ja inseneritööd: Kirjeldades ehitusprojekti viimast etappi, kus tehakse viimistlustööd ja objekt antakse üle tellijale.;PROJEKTIJUHTIMINE, TOOTEARENDUS, teaduskirjandus, HARIDUS, KOOLITUS, EHITUS, INSENEERIA;paljudes tekstides, alates ilukirjandusest kuni teadustekstideni;erinevad tekstid;registrita;"3158
0,83
";"NONE 1599 (keskmine)
politics & government 421 (tüüpiline)
culture & entertainment 221 (ebatüüpiline)
construction & real estate 121 (tüüpiline)
economy, finance & business 100 (tüüpiline)";"periodicals 1888 (tüüpiline)
NONE 680	(keskmine)
blogs 224 (ebatüüpiline)
forums	155 (ebatüüpiline)
e-commerce 73 (ebatüüpiline) ";;registrita;;;ÕS;registrita;registrita;jah;;jah;;jah;;ei;sama;sama;
lõõgas;"ÕS: lõdvalt
ÜS: [märksõna pole]";kasutatakse eesti keeles harva ja see võib esineda peamiselt murdekeeles või vanemas kirjanduses. Täpsemalt võib see sõna esineda tekstides, mis käsitlevad rahvapärimusi, murdekeelt või ajaloolisi teemasid. Kui sul on konkreetne kontekst või tekst, kus see sõna esineb, siis võiksin aidata täpsemalt selgitada. Kui mul ei ole selle kohta informatsiooni, siis pean ütlema, et ma ei oska öelda.;murdekeel, vanem kirjandus, RAHVAPÄRIMUS, AJALUGU;võib leida ilukirjanduses või kõnekeeles, et kirjeldada intensiivset kuumust või põlemist.;ilukirjandus, kõnekeel;HRV v MURDES;27 (0,01 per million tokens);NONE 15 (105.22%), culture & entertainment 4 (136.36%), culture & entertainment:books & literature 2 (459.74%), science 2 (457.41%);e-commerce 11 (983.40 %), NONE 7 (114.98%), periodicals 3  (24.87%);Enamik juhte sisestus- v tekstutuvastusvead (esimene pool verbi LÕÕGASTUMA vormidest) osa juhte sõnast LÕÕG > inessiiv LÕÕGAS (pro LÕAS), otsistavat sõna ja tähendust ehk paar juhtu 27-st.;HARV;GPT4 eksib, korpuses liiga vähe, et midagi öelda;;ÕS;murdes;märksõna pole;jah;;jah;;jah;;jah;sama;mitte;
lööma;"ÕS: [tähendusvihjed näidete juures]
ÜS: tegusõnana 5 tähendust, nimisõnana 1";"kasutatakse eesti keeles mitmesugustes tekstides ja kontekstides. Siin on mõned näited: 1. Ilukirjandus: Romaanides, novellides ja luuletustes, kus tegelased võivad füüsiliselt kakelda või võidelda. Näide: ""Ta lõi rusikaga vastu lauda."" 2. Ajakirjandus: Uudistes ja artiklites, kus kirjeldatakse sündmusi, mis hõlmavad füüsilist vägivalda või võitlust. Näide: ""Mees lõi teist meest baaris."" 3. Õiguslikud tekstid: Seadustes ja kohtulahendites, kus käsitletakse füüsilise vägivalla juhtumeid. Näide: ""Süüdistatav lõi kannatanut pähe."" 4. Sporditekstid: Kirjeldustes, kus räägitakse spordivõistlustest, eriti võitlusspordialadest. Näide: ""Poksija lõi vastast tugeva hoobiga."" 5. Igapäevane kõnepruuk ja dialoogid: Vestlustes, kus inimesed räägivad oma kogemustest või juhtumitest. Näide: ""Ma lõin varba vastu tooli."" 6. Õppematerjalid ja juhendid: Tekstides, kus õpetatakse enesekaitset või võitluskunste. Näide: ""Õpi, kuidas õigesti lüüa.""";ilukirjandus, ajakirjandus, ÕIGUS, SPORT, argikeel, õppematerjalid, juhendid;võib leida paljudes tekstides, alates spordiartiklitest kuni ilukirjanduseni.;erinevad tekstid;;;;;;;;;ÕS;"argi: ""Lööb litsi argi liiderdab, hoorab.""";tegusõnana registrita, nimisõnana kõnekeelne;;;;;;;;;;
ladra;"ÕS: latraja, latatara, lobiseja
ÜS: 1.  sügavama sisuta (ohtrasõnaline) jutt, tühjast-tähjast rääkimine; loll jutt, jama ; 2.  sõnaohter, väga jutukas inimene, kes sageli räägib tühjast-tähjast ";ei ole eesti keeles tavaline ega laialt kasutatav. See võib olla trükiviga, haruldane murdesõna või võõrkeelne sõna. Ilma täiendava kontekstita ei oska ma täpselt öelda, millistes tekstides seda sõna kasutatakse.;ei tea;kasutatakse sageli kriminaalromaanides või ajakirjanduses, mis käsitleb vargusi või pettusi.;kriminaalromaanid, ajakirjandus;ei saa vastata;"33
0,01";"NONE 19 (tüüpiline)
travel & tourism 7  (tüüpiline)
culture & entertainment 4 (tüüpiline)
culture & entertainment:books & literature 1 (tüüpiline)
home, family & children 1 (tüüpiline)";"blogs 11 (tüüpiline)
NONE  9 (tüüpiline)
encyclopedia 5 (tüüpiline)
fiction 4 (tüüpiline)
fiction:Novel 3	(tüüpiline)";;kõnek?;;;ÕS;argi;mõlemad kõnekeelne;ei;ei tundnud ära;jah;sagedus madal ikkagi;jah;;jah;ei saa vastata;sama;
lamatis;"ÕS: lamamisest tekkinud koekärbus
ÜS: naha ja pehmete kudede kahjustus (krooniline haav), mis tekib nt pikaajalisest lamamisest";kasutatakse meditsiinilistes tekstides, eriti nendes, mis käsitlevad haavandeid, haavahooldust ja pikaajalist voodiravi vajavate patsientide hooldust. Lamatised on naha ja nahaaluste kudede kahjustused, mis tekivad pikaajalise surve tõttu, tavaliselt voodihaigetel või ratastoolikasutajatel. Selliseid tekste võib leida meditsiinilistes õpikutes, teadusartiklites, hooldusjuhendites ja tervishoiualastes väljaannetes.;MEDITSIIN, õpikud, teaduskirjandus, hooldusjuhendid, tervishoiualased väljaanded;kasutatakse meditsiinilistes tekstides või tervisealastes artiklites.;MEDITSIIN, TERVIS;registrita;"2847
0,75
";"NONE 1421 (keskmine)
health 1023 (tüüpiline)
culture & entertainment 112 (ebatüüpiline)
women & beauty 56 (tüüpiline)
politics & government	37 (ebatüüpiline)";"periodicals 1061 (ebatüüpiline)
NONE 1035 (tüüpiline)
e-commerce 357 (tüüpiline) 
blogs 243 (ebatüüpiline)
forums	86 (ebatüüpiline)";;registrita;;;ÕS;registrita, tegelikult MED, VET;registrita;jah;;jah;;ei;pigem toetasid teineteist;ei;sama;sama;
lape;"ÕS: homonüüm1 'lapatud v sebitud olek'; homonüüm2 '(värava, ukse, akna, ka sea vm looma) külg'
ÜS: sea vm looma külg (toiduna)";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""lape"".";ei tea;kasutatakse sageli ilukirjanduses või kõnekeeles laste kohta.;ilukirjandus, kõnekeel;registrita;330 (0.09 per million);NONE 180 (103.43%), home, family & children 31 (1,115.61%), culture & entertainment 27 (75.40%), sports 17 (78.55%), law & justice 17 (348.17&%);periodicals 94 (67.67), forums 87 (198.27), blogs 83 (174.82) NONE 55 (78.44), e-commerce 8 (62.10);suur osa juhte trükivead: LAPE- pro LAPSE-;MURDES sobib;mudel ei tunne sõna, korpuses väga palju ekslikke tuvastusi;;ÕS;murdes;murdes;ei;ei tundnud ära;nii ja naa;suur osa trükivead, kasutust vähe;ei;;jah;ei saa vastata;sama;
laudik;"ÕS: väike laut; trük trükilao alus
ÜS: väike laut";kasutatakse eesti keeles tavaliselt põllumajandusega seotud tekstides, eriti piimanduses ja loomakasvatuses. Laudik viitab noorele lehmale, kes on tiine ja valmistub esimest korda poegima. Selliseid tekste võib leida põllumajandusajakirjades, teadusartiklites, õpikutes ja juhendites, mis käsitlevad loomakasvatust ja piimatootmist.;PÕLLUMAJANDUS, PIIMANDUS, LOOMAKASVATUS. põllumajandusajakirjad, teaduskirjandus, õpikud, juhendid;võib leida toiduvalmistamise või restoranidega seotud tekstides.;KOKANDUS, RESTORANID;ei saa vastata, kuna vale tähendus;"23
0,01";"law & justice 9 (tüüpiline)
culture & entertainment 7 (tüüpiline)
NONE 5 (ebatüüpiline)
culture & entertainment:books & literature 1 (tüüpiline)
science 1 (tüüpiline)";"periodicals 14	(tüüpiline)
blogs	4 (keskmine)
periodicals:newspaper 4 (tüüpiline)
NONE 2 (ebatüüpiline)
fiction:Set of stories 2 (ebatüüpiline)
";;registrita;;;ÕS;registrita + trük;registrita;ei;ei tundnud õiget tähendust;jah;;ei;;jah;ei saa vastata;sama;
lidrine;"ÕS: porine
ÜS: porine";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""lidrine"". See võib olla haruldane või spetsiifiline sõna, mida ei esine laialdaselt tuntud eesti keele sõnavaras.";ei tea;kasutatakse sageli kõnekeeles või ilukirjanduses, et kirjeldada kedagi, kes on hooletu või lohakas.;kõnekeel, ilukirjandus;registrita, SKM järgi pakuks HARV;13 (less than 0.01%);NONE 11 (159.83 %), pets and animals 1 (775.75%);periodicals 7 (129.47), blogs 5 (270.58), forums 1 (58.55);Pakuksin HARV v KÕNEK, konkordantsi järgi murdetausta raske tuvastada, kuigi ühel juhul tuuakse näitena saare kõnepruugist.;MURDES sobib;harva esinev sõna, murdetaust selgub pigem korpusest;;ÕS;murdes;harv;ei;;jah;;ei;korpuses ainus õige inf;ei saa vastata;ei saa vastata;sama;
lubjakas;"ÕS: lubjarikas; vanem inimene
ÜS: 1.  vanainimene; 2. (pinnase, vee kohta:) palju lupja sisaldav";kasutatakse eesti keeles tavaliselt geoloogilistes ja ehitusalastes tekstides. See viitab lubjakivile, mis on settekivim, koosnedes peamiselt kaltsiumkarbonaadist. Lubjakivi kasutatakse sageli ehitusmaterjalina, samuti tsemendi ja lubja tootmisel. Lisaks võib seda sõna kohata ka loodusteaduslikes ja keskkonnateemalistes tekstides, kus käsitletakse pinnase koostist ja kivimite omadusi.;GEOLOOGIA, EHITUS, LOODUSTEADUS, KESKKOND;võib leida geoloogia või ehitusega seotud tekstides.;GEOLOOGIA, EHITUS;registrita;"586
0,15";"NONE 418 (tüüpiline)
culture & entertainment 34 (ebatüüpiline)
technology & IT 26	(ebatüüpiline)
nature & environment 20 (tüüpiline)
technology & IT:cars 20 (ebatüüpiline)";"periodicals	286	(tüüpiline)
blogs	96	(tüüpiline)
forums	83	(keskmine)
NONE	79	(ebatüüpiline)
fiction	19	(ebatüüpiline)";;registrita;;;ÕS;argi: 'vana inimene', registrita: lubjarikas;"1. kõnekeelne; 2. registrita";jah;;jah;;jah;mudelil täpsemad valdkonnad;ei;jah;jah;
mutt;"ÕS: 5 homonüümi
ÜS: mitmeid homonüüme
vajab täpsemat otsingut";"kasutatakse eesti keeles mitmesugustes tekstides ja kontekstides. Siin on mõned näited: 1. Loodusteaduslikud tekstid: Sõna ""mutt"" viitab loomale, kes elab maa all ja on tuntud oma kaevamisoskuste poolest. Näide: ""Mutt on väike imetaja, kes elab maa-alustes käikudes."" 2. Lastekirjandus: Sõna ""mutt"" võib esineda lasteraamatutes ja -lugudes, kus räägitakse loomadest. Näide: ""Mutt ja tema sõbrad seiklesid metsas."" 3. Rahvapärimus ja vanasõnad: Sõna ""mutt"" võib esineda rahvajuttudes ja vanasõnades. Näide: ""Mutt on töökas loom, kes ei karda rasket tööd."" 4. Igapäevane kõnekeel: Sõna ""mutt"" võib kasutada ka kõnekeeles, mõnikord ka slängina, viidates inimesele, kes on väga töökas või kellel on ""mutilaadne"" käitumine. Näide: ""Ta on nagu mutt, kogu aeg midagi kaevamas."" 5. Meditsiinilised tekstid: Sõna ""mutt"" võib kasutada ka meditsiinilises kontekstis, viidates nahamoodustisele (sünnimärk). Näide: ""Arst kontrollis patsiendi mutte, et veenduda nende ohutuses.""";LOODUSTEADUS, lastekirjandus, rahvapärimus, vanasõnad, kõnekeel, MEDITSIIN;kasutatakse loodusteadustes, tähendab väikest närilist. Samuti kasutatakse slängis, tähendab vanemat naisterahvast.;LOODUSTEADUS, släng;;;;;;;;;ÕS;argi + muid;palju;;;;;;;;;;
manu;"ÕS: juurde
ÜS: juurde";"kasutatakse eesti keeles mitmesugustes kontekstides, kuid kõige sagedamini esineb see kirjanduslikes ja arhailistes tekstides. Näiteks võib seda leida vanades rahvalauludes, luuletustes ja religioossetes tekstides. ""Manu"" tähendab ""juurde"" või ""poole"" ning seda kasutatakse sageli väljendites nagu ""jumala manu"" (jumala juurde) või ""manu minema"" (poole minema). Kui sul on konkreetne tekst või kontekst, kus seda sõna kasutatakse, siis saaksin anda täpsema vastuse.";kirjandus, venem kirjandus, rahvalaulud, luule, RELIGIOON;kasutatakse slängis, tähendab manuaalset käigukasti.;släng;registrita;24,072 (6,36 per million);sports 12,338 (594.70%), sports:football 8,008 (2,194.17%), NONE 6,497 (38.95%), culture & entertainment 2,002 (58.32%), technology & IT 863 (44.33%);forums 9,870 (302.66 %), periodicals 8,352 (80.90%), blogs 2,659 (75.36%), NONE 2,396 (45.98%), fiction 440 (52.46&%);umbes pooled juhtudest on Manchester Unitedi lühend ManU, NONE märgendiga tekstides on ka seda palju, aga leiab selgeid lõunaeestikeelseid tekste, aga ka kirjakeelseid ja kõnekeelseid;MURDES sobib;GPT-4o tunneb ära, aga ei tea murdetausta, korpusest tuleb murdetaust selgelt esile;;ÕS;murdes;kõnekeelne;jah;;jah;;jah;;jah;mitte;sama;
mullatoit;"ÕS: näites: ""Sõjas läks tuhandeid mehi mullatoidule (langes, suri)""
ÜS: (surma, surnud olemise kohta)";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""mullatoit"".";ei tea;kasutatakse aianduses, tähendab mullale lisatavat väetist.;AIANDUS;registrita;"525
0.14";"NONE -- tüüpiline
culture & entertainment -- tüüpiline
Education- keskmine
technology & IT ebatüüpiline
Health -- tüüpiline";"Periodicals --tüüpiline
NONE -ebatüüpiline
Forums --keskmine
Blogs- ebatüüpiline
Fiction --keskmine";"esineb väljendis mullatoidule minema/sattuma, aga ka peakliri  ""Mullatoidu restoran""";"märgend: kõnekeel; piltlik väljend ";mudel leiutas aiandusega seotud tähenduse (tüvede muld + toit põhjal);;ÕS;argi + ülek;registrita;ei;leiutas tähenduse;jah;;ei;õige inf ainult korpuses;ei saa vastata;ei saa vastata;sama;
mänguriist;"ÕS: pill, muusikariist
ÜS: (muusikariista, pilli kohta) ";kasutatakse tavaliselt tekstides, mis käsitlevad muusikat, muusikariistu või mänguasju. See võib viidata erinevatele instrumentidele või seadmetele, mida kasutatakse mängimiseks või muusika tegemiseks. Näiteks võib seda sõna leida muusikainstrumentide kirjeldustes, mänguasjade kataloogides või haridusmaterjalides, mis käsitlevad muusikaõpetust.;MUUSIKA, MÄNGUASJAD, HARIDUS;kasutatakse lastekasvatuses ja mänguasjade kirjeldamisel.;LASTEKASVATUS, MÄNGUASJAD;registrita;"469
0.12";"NONE - ebatüüpiline
culture & entertainment --tüüpiline
religion--tüüpiline
culture & entertainment:books & literature --tüüpiline
Education --tüüpiline";"NONE --tüüpiline
Periodicals --ebatüüpiline
fiction--tüüpiline
Blogs --ebatüüpiline
fiction:Novel --tüüpiline";tundub veidi arhailise maiguga sõna;vanamoeline?;mudel näib selle kasutatavust ülehindavat ja leiutab kasutust haridusvaldkonnas;;ÕS;argi;registrita;jah;;jah;;jah;;jah;mitte;mitte;jah
natike[ne];"ÕS: natuke(ne)
ÜS: vähesel määral või hulgal";kasutatakse eesti keeles tavaliselt mitteametlikes ja igapäevastes vestlustes või tekstides, et väljendada midagi väikest või vähest. See võib esineda näiteks vestlustes, blogipostitustes, sotsiaalmeedia postitustes, kirjavahetuses sõprade vahel ja muudes mitteametlikes kontekstides. ;argikeel, vestlused, blogid, sotsiaalmeedia, kirjavahetused;kasutatakse igapäevakeeles, tähendab väikest kogust.;argikeel;kõnek;"2426
0.54";"NONE -- ebatüüpiline
technology & IT - tüüpiline
technology & IT:cars -- tüüpiline
culture & entertainment --ebatüüpiline
pets and animals -- tüüpiline";"Forums --tüüpiline
blogs--tüüpiline
Periodicals --ebatüüpiline
NONE --ebatüüpiline
Fiction --tüüpiline";mitteformaalsetes keskkondades;registrimärgend: kõnekeel?;mudel andis adekvaatse hinnangu;;ÕS;argi;kõnekeelne;jah;;jah;;jah;mudel tõi kõnekeelt rohkem esile;ei;sama;sama;
noneh;"ÕS: nojah
ÜS: nojah (kinnitavas või möönvas tähenduses) ";"kasutatakse eesti keeles tavaliselt kõnekeeles või mitteametlikes tekstides. See on väljend, mida kasutatakse üllatuse, imestuse või mõnikord ka kerge pahameele väljendamiseks. Näiteks võib seda kasutada järgmiselt: ""Noneh, sa oled juba siin!"", ""Noneh, mis nüüd juhtus?"" Ametlikes tekstides või formaalses kirjas seda sõna tavaliselt ei kasutata.";kõnekeel, mitteametlikud tekstid;kasutatakse mõnes murdes, tähendab noh.;murdekeel;kõnek;"294
0.08";"NONE -- tüüpiline
culture & entertainment -- tüüpiline
technology & IT ebatüüpiline
technology & IT:cars -- tüüpiline
law & justice--- tüüpiline ";"Blogs - tüüpiline
Fiction - tüüpiline
fiction:Novel - tüüpiline
Periodicals- ebatüüpiline
Forums – keskmine ";"madala sagedusega sõna; kõikjal, kus vabam väljendusviis ja inimesed reflekteerivad enda ja teiste tegemiste üle";märgend: kõnekeel;mudeli vastus vastab intuitsioonile ja sama näitab ka korpus;;ÕS;argi;kõnekeelne;jah;;jah;;jah;;ei;sama;sama;
näpukas;"ÕS: näpuviga
ÜS: 1. kirjaviga, mis on tehtud kogemata, tähelepanematusest, mitte oskamatusest; 2. partneri seksuaalne rahuldamine sõrmede abil";"kasutatakse eesti keeles tavaliselt mitteametlikes tekstides, nagu vestlused, sotsiaalmeedia postitused, blogid ja muud igapäevased suhtlusvormid. See sõna viitab väikesele veale või eksimusele, mis on tehtud kirjutamisel või trükkimisel. Näiteks võib keegi öelda: ""Vabandust, see oli näpukas,"" kui nad on teinud kirjaviga.";mitteametlikud tekstid;kasutatakse igapäevakeeles, tähendab väikest viga või apsakat.;argikeel;kõnek;"6451
1.7";"NONE - ebatüüpiline
culture & entertainment -tüüpiline
technology & IT-tüüpiline
culture & entertainment:movies & TV-tüüpiline
technology & IT:cars-tüüpiline";"Forums - tüüpiline
Periodicals --ebatüüpiline
Blogs tüüpiline
NONE--ebatüüpilin
Encyclopedia-- tüüpiline (NB! See on vikipeedia toimetajate omavahelistest aruteludest)";kõikjal, kus inimesed arutlevad ja reflekteerivad enda tegemisi;registrimärgend: kõnekeel?;mudeli vastus vastab intuitsioonile ja sama näitab ka korpus;;ÕS;argi;mõlemad kõnekeelne;jah;;jah;;jah;;ei;sama;sama;
otsitav;"ÕS: (keda v mida otsitakse)
ÜS: 1. inimene või asi, keda või mida tahetakse leida, tabada vms; 1.1 selline, mida või keda tahetakse leida, tabada vms";"Ma ei oska öelda, millistes konkreetsetes tekstides kasutatakse sõna ""otsitav"", kuna mul puudub juurdepääs sellistele andmetele. Sõna ""otsitav"" võib aga esineda erinevates kontekstides, näiteks politsei otsitavate nimekirjades, kuulutustes, tööpakkumistes või muudes tekstides, kus viidatakse isikule või objektile, mida otsitakse.";POLITSEI, kuulutused, tööpakkumised;kasutatakse õigusvaldkonnas, tähendab isikut, kelle suhtes on välja antud vahistamis- või kinnipidamiskäsk.;ÕIGUS;registrita;"10508
2.78";"NONE -- keskmine
technology & IT -- tüüpiline
culture & entertainment -- ebatüüpiline
Education -- tüüpiline
History -tüüpiline";"NONE -tüüpiline
Periodicals --ebatüüpiline
Forums -keskmine
Blogs -ebatüüpiline
e-commerce -- tüüpiline";"üldises kasutuses; kriminaalset kontesksti ei märganud, kui seda ka oli";registrita;"mudel lähtub vist ingl keele ""wanted"" tõlkest ? Korpus peegeldab vg laialdast kasutust kontekstides, kus inimesed ise otsivad kas sugulasi, partnereid , tooteid vm tavalisi asju";;ÕS;"registrita + ""ka MAT""";registrita;jah;;jah;;jah;;ei;sama;sama;
pett;"ÕS: homonüüm1 'petipiim, võipiim'; homonüüm2 'pete, petmine'
ÜS: H1 'või tegemisel koorest eralduv valkjas vedelik, mida hapendatult tarvitatakse joogina'; H2 'pettus, petmine'; H3 'petipiim, võipiim"" (Esterm)";"kasutatakse eesti keeles tekstides, mis käsitlevad toiduaineid ja toiduvalmistamist. Pett on piimatoode, mis jääb järele või valmistamisel. Seda võib leida retseptides, mis sisaldavad traditsioonilisi eesti roogasid, samuti toitumise ja tervise teemalistes artiklites. Kui sul on konkreetne kontekst või tekstiliik, milles sõna ""pett"" esineb, siis saan täpsemalt aidata.";KOKANDUS ;kasutatakse sageli loodusteaduste, eriti geoloogia valdkonnas;LOODUSTEADUS, GEOLOOGIA;"registrita; valdkond kokandus";"4100
1.08";"NONE - keskmine
food & drinks --tüüpiline
culture & entertainment - ebaüüpiline
Sports - ebaüüpiline
technology & IT - ebaüüpiline";"periodicals- ebaüüpiline
Blogs --tüüpiline
NONE -- ebaüüpiline
forums--tüüpiline
Fiction keskmine";sisaldab ka valesid analüüse: vorme sõnast pettuma;registrita;üks kahest mudelist eksib, korpuses on tõde;ei saa aru, kust üks mudel selle geoloogia võtab;ÕS;"argi: liitsõnas ""petuskeem argi pettus""";registrita;jah;andis küll teist tähendust, mitte seda argimärgendiga;jah;;jah;;ei;mitte;mitte;jah
piller;"ÕS: (rasestumisvastane) tablett
ÜS: H1 'laevateki tugipost'; H2 '(rasestumisvastane) tablett";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""piller"".";ei tea;argikeelne sõna, mida kasutatakse sageli suulises kõnes või argielu kirjeldavates proosateostes;argikeel, kõnekeel, proosateosed;kõnek;"72
0.02";"NONE -- keskmine
Other --tüüpiline
other:maritime -- ülitüüpiline
culture & entertainment ebatüüpiline
gaming & gambling -- tüüpiline";"Periodicals -ebaüüpiline
Encyclopedia --tüüpiline
NONE-ebaüüpiline
blogs-ebaüüpiline
forums-ebaüüpiline";"kaks tähendust: peamiselt merendustermin; teiseks kõnekeeles 'pill; tablett'";kui teha kaks tähendust, siis teine kõnek, peamiselt on merendustermin;mudel ei saa aru, et see on merendustermin, tal pole vist juurdepääsu teatmeteostele;väike sagedus, valesid korpusmärgendusi, kipub pärisnimega segi minema;ÕS;argi;H1 registrita, H2 kõnekeelne;ei;ei tunne ära;jaa;kuigi väike sagedus, valesid korpusmärgendusi, kipub pärisnimega segi minema;ei;;ei saa vastata;ei saa vastata;sama;
pommima;"ÕS: midagi endale nõudma
ÜS: kelleltki raha, suitsu vm lunima, tüütult, tungivalt küsima";kasutatakse eesti keeles tavaliselt tekstides, mis käsitlevad sõjategevust, terrorismi või vägivaldseid konflikte. See sõna viitab tegevusele, kus kasutatakse pomme või muud lõhkeainet rünnakute sooritamiseks. Näiteks võib seda sõna leida uudisteartiklites, ajaloolistes ülevaadetes, sõjandusalastes kirjutistes või ilukirjanduses, mis käsitleb sõda ja konflikte. ;SÕJANDUS, TERRORISM, ajakirjandus, AJALUGU, ilukirjandus;kasutatakse sõjanduse, ajaloo, poliitika ja ajakirjanduse kontekstis;SÕJANDUS, AJALUGU, POLIITIKA, ajakirjandus;"registrita; valdkond sõjandus";"1036
0.27";"NONE -- tüüpiline
culture & entertainment --tüüpiline
technology & IT ebatüüpiline NB! Lisaks gaming and gambling, football ja women and beauty -- tüüpiline
Sports --ebatüüp
technology & IT:cars keskmine";"Periodicals -- keskmine
Blogs --tüüpiline
Forums -- tüüpiline
NONE --ebatüüp
Fiction -- tüüpiline NB! Eriti romaanides tüüpiline";sõjandustermin see küll ei ole;võiks ehk olla KÕNEK?;"mudel ei saa aru, et see on piltlik ja vahest humoorikaski sõna; korpuses analüüsitakse ka pommitama vorme selleks (pommitaks)";;ÕS;argi;kõnekeelne;ei;"pakub ""pommitama"" tähendusi";jah;;ei;;ei saa vastata;ei saa vastata;sama;
paarutama;"ÕS: argi kihutama, ringi ajama; murdes kuumas leilis vihtlema; ÜS: kõnekeelne kihutama, (ringi) sõitma või käima";kasutatakse eesti keeles peamiselt bioloogilistes ja zooloogilistes kontekstides, viidates loomade paaritumisprotsessile. Seda võib leida teaduslikes artiklites, õpikutes, loomade käitumist käsitlevates raamatutes ja dokumentaalides. Samuti võib seda sõna kohata loomakasvatusega seotud tekstides, kus kirjeldatakse loomade aretamist ja sigimist.;BIOLOOGIA, ZOOLOOGIA, teaduskirjandus, ajakirjandus, LOOMAKASVATUS;kasutatakse loomade paaritumise kirjeldamisel.;BIOLOOGIA;registrita;1927 (0,51 per mln);technology & IT 879 (tüüpiline), technology & IT:cars 794 (tüüpiline), NONE 731 (ei ole tüüpiline), culture & entertainment 85 (ei ole tüüpiline), sports 61 (ei ole tüüpiline) ;forums 1033 (tüüpiline), periodicals 370 (ei ole tüüpiline), blogs 359 (tüüpiline), NONE 140 (ei ole tüüpiline), fiction:Novel 20 (ei ole tüüpiline), fiction 20 (ei ole tüüpiline);kõnekeelsed jutustused;kõnek;mudel paneb segast, küllap ajab paarutamise segi paaritumisega;;ÕS;argi;;ei;kirjeldab teist sõna;jah;;ei;;ei saa vastata;ei saa vastata;sama;
